17.7185,13.9487,11.0661,8.857,7.1646,5.8602,4.8442,4.0528,3.4415,2.9773,2.6246,2.3649,2.174,2.0292,1.9182,1.8202,1.7322,1.6361,1.5323,1.4315,1.3263,1.2298,1.1368,1.0571,0.9845,0.9193,0.8602,0.8181,0.7759,0.7306,0.6781,0.6262,0.5698,0.5069,0.4348,0.3628,0.2951,0.2372,0.1873,0.1453,0.1102,0.0723,0.036,0.0053,-0.0308,-0.0562,-0.075,-0.0823,-0.0739,-0.0402
18.1898,14.2925,11.3076,9.0105,7.2412,5.8779,4.8135,3.9913,3.3512,2.8561,2.478,2.2022,1.9908,1.8235,1.6845,1.5537,1.4338,1.3252,1.2165,1.1029,0.9973,0.907,0.8256,0.7452,0.6688,0.6073,0.554,0.5075,0.4691,0.4398,0.4209,0.4058,0.3854,0.369,0.355,0.3334,0.3114,0.2945,0.282,0.2686,0.2525,0.2291,0.2008,0.1811,0.1647,0.1482,0.1278,0.1077,0.0907,0.0857
10.8584,8.4616,6.605,5.1726,4.076,3.2381,2.593,2.0957,1.714,1.4307,1.2183,1.0581,0.9359,0.8391,0.7675,0.7139,0.6713,0.6366,0.6069,0.5805,0.5648,0.5592,0.5579,0.5602,0.5653,0.5692,0.5673,0.5646,0.5596,0.5528,0.5392,0.5248,0.5147,0.5031,0.4915,0.4772,0.4609,0.4521,0.4505,0.4495,0.4432,0.4322,0.4254,0.4222,0.4204,0.4222,0.4296,0.439,0.4507,0.4694
12.3009,9.793,7.9078,6.4864,5.4146,4.604,3.9878,3.5182,3.1521,2.8634,2.6341,2.4528,2.3042,2.1781,2.0742,1.9855,1.9064,1.8298,1.7539,1.674,1.5849,1.4981,1.4105,1.3233,1.2301,1.1346,1.0387,0.9498,0.8663,0.7969,0.739,0.6887,0.6398,0.5901,0.5421,0.4953,0.4484,0.4008,0.349,0.2916,0.2322,0.179,0.1322,0.0937,0.0643,0.0403,0.019,-0.0075,-0.0365,-0.0614
84.5624,66.0667,51.8265,40.8834,32.5066,26.0841,21.1957,17.4145,14.4447,12.1524,10.3939,9.0141,7.9037,7.017,6.3174,5.7812,5.3852,4.986,4.588,4.2038,3.8675,3.5733,3.3088,3.0973,2.8905,2.6823,2.4276,2.2056,1.9943,1.7169,1.4119,1.1419,0.8845,0.66,0.471,0.3503,0.2442,0.1401,-0.0173,-0.1831,-0.3076,-0.2869,-0.1624,0.0019,0.162,0.2749,0.2954,0.2749,0.2604,0.2633
89.8877,70.5283,55.6613,44.2902,35.5775,28.9378,23.8793,20.0015,17.0602,14.7794,12.9591,11.5237,10.3859,9.4314,8.6138,7.8608,7.1881,6.6304,5.8933,5.011,4.0793,3.2092,2.4125,1.749,1.2214,0.8363,0.5804,0.4303,0.3687,0.331,0.3557,0.4053,0.4962,0.6246,0.812,0.9885,1.1637,1.3383,1.5285,1.676,1.7786,1.8588,1.8713,1.788,1.6342,1.3913,1.1402,0.8771,0.7582,0.692
51.2497,41.2875,33.9708,28.5539,24.53,21.5396,19.2218,17.3996,15.9834,14.8462,13.8503,12.9831,12.2719,11.5734,10.9251,10.3111,9.7902,9.2785,8.7816,8.3283,7.9036,7.4387,6.9628,6.4932,6.0483,5.6195,5.2103,4.8156,4.4609,4.1397,3.8627,3.685,3.6561,3.6978,3.7984,3.9286,4.0774,4.1908,4.2738,4.3091,4.3444,4.3628,4.3645,4.3329,4.2704,4.1554,4.0513,3.9587,3.8483,3.7909
12.3051,9.7939,7.9107,6.4982,5.4386,4.6454,4.0471,3.5909,3.2445,2.9771,2.7656,2.5901,2.4392,2.3011,2.1658,2.0411,1.9213,1.8059,1.6874,1.5683,1.4501,1.34,1.236,1.1466,1.0695,1.0006,0.9337,0.8665,0.8018,0.7392,0.6773,0.6153,0.5497,0.4793,0.4077,0.3428,0.2849,0.2358,0.1965,0.1632,0.1331,0.0984,0.0619,0.03,-0.0017,-0.0246,-0.035,-0.0334,-0.0245,-0.0076
20.7377,16.5073,13.3417,10.9646,9.1882,7.8454,6.8117,6.0154,5.3949,4.9027,4.5013,4.1803,3.929,3.718,3.5214,3.3184,3.1153,2.9168,2.7077,2.4854,2.2634,2.0585,1.8454,1.6493,1.4502,1.2649,1.0922,0.9427,0.832,0.7354,0.6525,0.568,0.517,0.4998,0.5112,0.5503,0.5644,0.5423,0.4738,0.3797,0.2704,0.1639,0.0641,-0.0266,-0.0975,-0.1347,-0.16,-0.1727,-0.171,-0.171
12.3806,9.8681,7.9973,6.6034,5.5623,4.7776,4.1803,3.7159,3.3418,3.0422,2.7934,2.5819,2.3907,2.2154,2.0524,1.9053,1.7697,1.6524,1.5498,1.457,1.3674,1.2783,1.1924,1.1092,1.0272,0.9458,0.8613,0.7726,0.6833,0.6016,0.5274,0.4628,0.4088,0.3614,0.3181,0.2709,0.2225,0.1794,0.1373,0.1046,0.0849,0.0779,0.0788,0.0882,0.1022,0.1214,0.1408,0.1566,0.1683,0.1755
84.0293,65.3869,50.8476,39.4828,30.599,23.6742,18.2782,14.0928,10.8045,8.2205,6.2708,4.7993,3.6801,2.7952,2.0996,1.5357,1.1008,0.8069,0.6072,0.5608,0.6996,0.9591,1.2529,1.6081,2.0015,2.4286,2.8374,3.2544,3.59,3.8132,3.9987,4.1604,4.2703,4.3051,4.3004,4.2774,4.2604,4.2616,4.1623,3.9916,3.7814,3.5791,3.3854,3.198,3.0449,2.8784,2.7019,2.4707,2.266,2.0664
67.255,54.4402,45.1844,38.4457,33.4755,29.7645,26.9857,24.9123,23.3209,22.0671,20.9972,20.044,19.152,18.2703,17.4045,16.5387,15.5438,14.4863,13.404,12.3661,11.4122,10.5668,9.7579,9.0057,8.238,7.4718,6.6895,5.8583,5.0375,4.1866,3.4076,2.7074,2.1725,1.8113,1.6143,1.7258,1.9025,2.1094,2.2343,2.3016,2.3683,2.367,2.2292,2.0352,1.8362,1.6623,1.406,1.0754,0.6962,0.2729
12.1064,9.6292,7.7687,6.3716,5.3266,4.5462,3.9539,3.4952,3.1371,2.8511,2.6232,2.4438,2.2974,2.1655,2.042,1.9198,1.7986,1.6841,1.5773,1.4791,1.3914,1.3087,1.2324,1.1645,1.1083,1.0594,1.0154,0.9811,0.9532,0.9291,0.9033,0.8753,0.841,0.7958,0.7516,0.705,0.6576,0.603,0.5447,0.4845,0.4298,0.3791,0.3408,0.3126,0.2905,0.2683,0.2438,0.2195,0.1954,0.1698
82.3178,63.5057,48.6681,36.9936,27.8251,20.6425,15.0652,10.781,7.5333,5.0551,3.1843,1.7427,0.6082,-0.2616,-0.8676,-1.2301,-1.3312,-1.2382,-1.0418,-0.7145,-0.3594,0.0324,0.4181,0.7155,0.9058,1.0287,1.0891,1.1589,1.2448,1.3358,1.417,1.5621,1.6933,1.7866,1.8286,1.8914,1.9826,2.019,1.9887,1.9127,1.8261,1.7335,1.6553,1.5426,1.4085,1.3441,1.3184,1.3036,1.2579,1.1958
82.3793,63.5156,48.7041,37.1196,28.1007,21.0611,15.5865,11.2993,7.9202,5.2817,3.2846,1.8299,0.874,0.3001,-0.0214,-0.0943,-0.0459,0.1129,0.3237,0.4919,0.5891,0.6468,0.6641,0.7076,0.7804,0.868,0.9534,1.1083,1.2532,1.3631,1.4235,1.5059,1.6172,1.674,1.6638,1.6076,1.5401,1.4659,1.4054,1.3095,1.1914,1.142,1.1305,1.129,1.0958,1.0455,0.9667,0.893,0.8648,0.8571
12.7162,10.0629,8.0574,6.5349,5.3829,4.5133,3.8572,3.3578,2.9776,2.6836,2.4553,2.2717,2.1177,1.9842,1.8646,1.764,1.6735,1.592,1.5081,1.4239,1.3358,1.2474,1.1598,1.0746,0.9983,0.9299,0.8616,0.7934,0.7238,0.6496,0.5764,0.5128,0.4592,0.4157,0.3827,0.3648,0.3514,0.4015,0.4812,0.5742,0.6801,0.7822,0.8686,0.9376,0.9999,1.0485,1.0831,1.1025,1.1079,1.0991
